entry,name,calling_convention,parameter_count,body_address_count
0041dba0,FUN_0041dba0,unknown,0,819
0041e050,FUN_0041e050,unknown,0,131
0041e0e0,FUN_0041e0e0,unknown,0,253
0041e1e0,FUN_0041e1e0,unknown,0,516
0041e3f0,FUN_0041e3f0,unknown,0,384
0041e570,Building_AutoFillOrUseGarrison,unknown,0,344
0041e6d0,Unit_NewTurnRegen,unknown,0,92
0041e730,Unit_UpdatePerTurn,unknown,0,126
0041e7f0,FUN_0041e7f0,unknown,0,154
0041e890,Building_CheckTechnology,unknown,0,335
0041e9e0,FUN_0041e9e0,unknown,0,166
0041ea90,LogAllBuildings,unknown,0,82
0041eaf0,Building_NewTurn,unknown,0,382
0041ec70,Building_GetInto,unknown,0,338
0041edd0,Building_BuildSchool,unknown,0,152
0041ee70,Building_BuildWorkshop,unknown,0,152
0041ef10,FUN_0041ef10,unknown,0,102
0041ef80,FUN_0041ef80,unknown,0,152
0041f020,FUN_0041f020,unknown,0,152
0041f0c0,FUN_0041f0c0,unknown,0,212
0041f1a0,FUN_0041f1a0,unknown,0,1645
0041f810,UI_DrawUnitStatsValues,unknown,0,50
0041f850,FUN_0041f850,unknown,0,58
0041f890,FUN_0041f890,unknown,0,110
0041f900,FUN_0041f900,unknown,0,581
0041fb50,Building_Destroy,unknown,0,439
0041fd10,Unit_CalcRestTurns,unknown,0,93
0041fd70,Unit_FindById,unknown,0,120
0041fdf0,FUN_0041fdf0,unknown,0,1220
004202c0,FUN_004202c0,unknown,0,1198
00420770,FUN_00420770,unknown,0,53
004207b0,Time_Now,unknown,0,64
004207f0,nullsub_2,unknown,0,1
00420800,FUN_00420800,unknown,0,29
00420870,FUN_00420870,unknown,0,156
00420910,FUN_00420910,unknown,0,370
00420f80,W?_fn_init$n__v,unknown,0,1
00421010,FUN_00421010,unknown,0,552
00421240,FUN_00421240,unknown,0,1272
00421740,FUN_00421740,unknown,0,166
004217e6,FUN_004217e6,unknown,0,19
00421830,Audio_PlaySfx,unknown,0,37
00421c20,FUN_00421c20,unknown,0,31
00421c40,FUN_00421c40,unknown,0,990
00422020,FUN_00422020,unknown,0,216
00422100,FUN_00422100,unknown,0,89
00422180,Debug_LogRenderHookChange,unknown,0,1448
00422880,FUN_00422880,unknown,0,224
00422960,FUN_00422960,unknown,0,54
004229a0,FUN_004229a0,unknown,0,280
00422ac0,FUN_00422ac0,unknown,0,139
00422b50,FUN_00422b50,unknown,0,26
00422b70,FUN_00422b70,unknown,0,6
00422b80,Unit_GetSquadCount,unknown,0,27
00422ba0,FUN_00422ba0,unknown,0,49
00422be0,FUN_00422be0,unknown,0,476
00422dc0,Map_IsTilePlacable,unknown,0,646
00423050,FUN_00423050,unknown,0,799
00423370,UI_SetCurrentPlayer,unknown,0,97
004233e0,FUN_004233e0,unknown,0,52
00423420,FUN_00423420,unknown,0,825
00423760,FUN_00423760,unknown,0,243
00423860,FUN_00423860,unknown,0,593
00423ac0,FUN_00423ac0,unknown,0,50
00423b00,FUN_00423b00,unknown,0,63
00423b40,FUN_00423b40,unknown,0,39
00423b70,FUN_00423b70,unknown,0,22
00423b90,FUN_00423b90,unknown,0,30
